City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Dingle,PH,10.9995,122.6711,77.47,92,100,6.69,overcast clouds
120,Mushie,CD,-3.0167,16.9,72.16,90,100,2.57,overcast clouds
121,Iqaluit,CA,63.7506,-68.5145,-18.31,68,40,6.91,scattered clouds
122,La Maddalena,IT,41.2142,9.4083,60.96,87,58,12.24,broken clouds
123,Batsfjord,NO,70.6345,29.7185,24.73,80,75,27.63,broken clouds
124,Mongu,ZM,-15.2484,23.1274,66.67,90,99,6.46,overcast clouds
125,Mabaruma,GY,8.2,-59.7833,72.84,96,63,2.98,broken clouds
126,Ciudad Bolivar,VE,8.1222,-63.5497,79.66,71,88,8.34,overcast clouds
127,Qaqortoq,GL,60.7167,-46.0333,-2.87,77,0,6.22,clear sky
128,Kaele,CM,10.1092,14.4508,67.6,25,37,10.09,scattered clouds
129,Savannah Bight,HN,16.45,-85.85,80.24,82,13,24.96,light rain
130,Tobermory,CA,45.2501,-81.6665,41.14,90,100,16.73,overcast clouds
131,Wattegama,LK,6.7989,81.4808,69.51,86,100,4.52,overcast clouds
132,Constantine,DZ,36.365,6.6147,42.21,70,0,2.3,clear sky
133,Saint-Pierre,RE,-21.3393,55.4781,74.88,73,0,4.61,clear sky
134,Takoradi,GH,4.8845,-1.7554,79.03,79,13,2.89,few clouds
135,San Andres,CO,12.5847,-81.7006,82.42,78,40,9.22,scattered clouds
136,Havoysund,NO,70.9963,24.6622,28.63,78,99,18.68,overcast clouds
137,Raudeberg,NO,61.9875,5.1352,40.87,41,100,21.18,light rain
138,Saint-Leu,RE,-21.15,55.2833,74.26,79,17,1.74,few clouds
139,Conneaut,US,41.9476,-80.5542,58.32,80,98,14.25,overcast clouds
140,Busselton,AU,-33.65,115.3333,66.72,62,94,12.17,overcast clouds
141,Oksfjord,NO,70.2396,22.3479,33.98,87,76,14.18,broken clouds
142,Olavarria,AR,-36.8927,-60.3225,74.03,35,6,16.4,clear sky
143,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,90,100,6.44,light rain
144,Mariental,NA,-24.6333,17.9667,78.49,45,8,13.02,clear sky
145,Narasannapeta,IN,18.4167,84.05,68.97,88,38,3.18,scattered clouds
146,Camapua,BR,-19.5314,-54.0439,76.62,79,92,3.71,moderate rain
147,Kashi,CN,39.4547,75.9797,18.61,62,98,6.71,overcast clouds
